county,Case_Fatality_Ratio,final_full,final_elderly,final_booster,final_elderly_booster,avg_full,obesity_pct,diabetes_deaths,smoking_pct,sedentary_pct,poverty_pct,hospital_beds,overweight_pct,pct_65plus,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
Alachua,0.878738835940778,0.6779999999999999,0.95,0.478,0.695,0.4720425531914894,0.298,0.237,0.114,0.218,0.201,0.892041346276636,0.275,0.1515348449,0.3788,0.0,0.7273,0.7424,0.2879,0.284,0.051,0.326,0.064,0.079,0.147,0.177,0.115,0.052000000000000005,0.011000000000000001,0.40399999999999997,0.191,0.109,0.059000000000000004,0.002,0.001,0.038,0.005,0.204,0.066,0.02,0.071,0.066
Baker,1.46881287726358,0.371,0.748,0.308,0.542,0.2367659574468085,0.364,0.253,0.297,0.349,0.11699999999999999,1.296487646929983,0.34299999999999997,0.14643973600000001,0.2727,0.2576,0.1667,0.3485,0.2273,0.215,0.049,0.205,0.149,0.113,0.149,0.235,0.154,0.071,0.003,0.21899999999999997,0.115,0.032,0.006999999999999999,0.002,0.0,0.063,0.0,0.006,0.348,0.022000000000000002,0.04,0.106
Bay,1.59852559521571,0.542,0.813,0.358,0.594,0.35228368794326237,0.299,0.299,0.221,0.297,0.129,0.6799106037523465,0.364,0.1887916947,0.4545,0.803,0.2879,0.4242,0.4545,0.209,0.04,0.295,0.096,0.13699999999999998,0.18100000000000002,0.20800000000000002,0.195,0.067,0.018000000000000002,0.25,0.102,0.07200000000000001,0.02,0.002,0.001,0.046,0.006999999999999999,0.209,0.11800000000000001,0.027999999999999997,0.04,0.015
Bradford,1.92640442957665,0.462,0.769,0.33299999999999996,0.616,0.29003191489361696,0.358,0.28600000000000003,0.271,0.358,0.19399999999999998,-0.8867341989975059,0.304,0.1833888426,0.8485,0.4242,0.3636,0.9394,0.7273,0.284,0.057999999999999996,0.284,0.179,0.109,0.17800000000000002,0.19699999999999998,0.18100000000000002,0.079,0.001,0.27399999999999997,0.17300000000000001,0.047,0.009000000000000001,0.001,0.0,0.044000000000000004,0.0,0.049,0.295,0.02,0.07,0.135
Brevard,1.40012502200023,0.66,0.9079999999999999,0.449,0.637,0.4461010638297872,0.307,0.201,0.163,0.27899999999999997,0.106,0.5414006484200476,0.366,0.2446227997,0.1667,0.1515,0.4242,0.1515,0.1364,0.18,0.049,0.263,0.073,0.1,0.24,0.18100000000000002,0.163,0.044000000000000004,0.013000000000000001,0.28,0.092,0.114,0.023,0.001,0.001,0.042,0.006999999999999999,0.128,0.07200000000000001,0.015,0.047,0.012
Broward,0.864933508322259,0.727,0.934,0.414,0.649,0.48416666666666663,0.271,0.213,0.126,0.24100000000000002,0.124,0.5740283305132712,0.379,0.1754010437,0.8333,0.6515,0.9394,0.5606,0.8636,0.209,0.057999999999999996,0.366,0.1,0.139,0.17300000000000001,0.209,0.111,0.069,0.07400000000000001,0.67,0.276,0.315,0.036000000000000004,0.001,0.001,0.034,0.008,0.358,0.027000000000000003,0.044000000000000004,0.069,0.009000000000000001
Calhoun,2.19827586206897,0.353,0.6920000000000001,0.355,0.568,0.2442535460992908,0.35,0.424,0.20199999999999999,0.387,0.182,0.2286695843172254,0.353,0.1908537836,0.6818,0.5758,0.2727,0.9697,0.7121,0.336,0.037000000000000005,0.201,0.207,0.196,0.183,0.195,0.24100000000000002,0.07,0.006999999999999999,0.248,0.124,0.064,0.002,0.011000000000000001,0.0,0.040999999999999995,0.006,0.006999999999999999,0.345,0.04,0.068,0.131
Charlotte,1.99146197000514,0.6679999999999999,0.899,0.49200000000000005,0.6,0.47191312056737594,0.27399999999999997,0.185,0.154,0.258,0.105,0.6380210656240444,0.395,0.4121422055,0.2576,0.4091,0.1061,0.2121,0.1818,0.18899999999999997,0.057,0.27,0.081,0.102,0.40299999999999997,0.11800000000000001,0.217,0.035,0.013000000000000001,0.177,0.051,0.08,0.013000000000000001,0.001,0.0,0.027999999999999997,0.003,0.094,0.11,0.013000000000000001,0.045,0.021
Citrus,2.88556667033088,0.5720000000000001,0.841,0.5,0.628,0.40650709219858155,0.312,0.312,0.198,0.32299999999999995,0.149,0.3664655606391022,0.363,0.37083559450000003,0.5,0.303,0.0152,0.1364,0.197,0.244,0.07200000000000001,0.235,0.096,0.10800000000000001,0.364,0.14800000000000002,0.217,0.037000000000000005,0.008,0.138,0.021,0.064,0.013999999999999999,0.003,0.0,0.031,0.004,0.013999999999999999,0.207,0.013000000000000001,0.047,0.018000000000000002
Clay,1.44658871248851,0.552,0.847,0.396,0.6679999999999999,0.34865248226950357,0.34600000000000003,0.252,0.222,0.316,0.096,0.41760762589242073,0.34299999999999997,0.1667772814,0.0455,0.3939,0.5152,0.0455,0.1061,0.16699999999999998,0.043,0.218,0.075,0.087,0.165,0.22899999999999998,0.134,0.062,0.013999999999999999,0.3,0.11199999999999999,0.10800000000000001,0.027999999999999997,0.0,0.0,0.044000000000000004,0.006999999999999999,0.046,0.125,0.02,0.036000000000000004,0.008
Collier,1.09057282714672,0.7170000000000001,0.95,0.43799999999999994,0.583,0.49774290780141844,0.231,0.113,0.11699999999999999,0.254,0.106,0.4728463748881665,0.408,0.33425717839999997,0.2273,0.3636,0.697,0.4545,0.3788,0.17300000000000001,0.043,0.287,0.105,0.11800000000000001,0.32799999999999996,0.16699999999999998,0.114,0.042,0.07400000000000001,0.385,0.064,0.28600000000000003,0.013999999999999999,0.001,0.0,0.018000000000000002,0.002,0.27399999999999997,0.049,0.04,0.046,0.012
Columbia,1.76095453610368,0.42700000000000005,0.7490000000000001,0.359,0.579,0.28922872340425526,0.35200000000000004,0.392,0.239,0.36700000000000005,0.14400000000000002,0.11546744671097937,0.382,0.19791446189999998,0.7879,0.7121,0.4394,0.7727,0.7727,0.282,0.069,0.212,0.142,0.132,0.196,0.221,0.20199999999999999,0.062,0.006999999999999999,0.28600000000000003,0.166,0.068,0.009000000000000001,0.001,0.0,0.034,0.006999999999999999,0.043,0.36200000000000004,0.036000000000000004,0.045,0.064
DeSoto,1.48141246622566,0.48200000000000004,0.755,0.34,0.535,0.3118794326241135,0.306,0.392,0.183,0.32299999999999995,0.253,0.11286185107508118,0.40700000000000003,0.2287762579,0.9848,0.9848,0.8333,0.9848,1.0,0.401,0.09699999999999999,0.24,0.26899999999999996,0.196,0.223,0.183,0.19,0.083,0.057999999999999996,0.461,0.122,0.32,0.002,0.002,0.0,0.013000000000000001,0.002,0.021,0.307,0.06,0.062,0.09300000000000001
Dixie,1.66275847367299,0.35100000000000003,0.691,0.376,0.488,0.2376170212765957,0.342,0.35,0.295,0.381,0.157,-2.3496676104789618,0.358,0.2438980617,0.7273,0.1667,0.0758,0.8939,0.5606,0.327,0.051,0.156,0.192,0.16,0.237,0.17800000000000002,0.257,0.027999999999999997,0.006999999999999999,0.16899999999999998,0.08,0.045,0.003,0.004,0.0,0.036000000000000004,0.001,0.002,0.506,0.048,0.051,0.092
Duval,1.20793041255981,0.622,0.948,0.415,0.67,0.4169627659574468,0.33,0.275,0.16399999999999998,0.294,0.145,0.6618479724209816,0.355,0.1483637555,0.5152,0.7424,0.8788,0.6212,0.697,0.233,0.047,0.315,0.09300000000000001,0.11699999999999999,0.147,0.22399999999999998,0.13,0.079,0.027000000000000003,0.499,0.289,0.11,0.047,0.001,0.001,0.044000000000000004,0.006999999999999999,0.193,0.04,0.023,0.071,0.024
Escambia,1.49767859817283,0.5660000000000001,0.9159999999999999,0.39899999999999997,0.639,0.3757677304964539,0.316,0.285,0.166,0.27,0.145,0.7788428926458325,0.363,0.1745816899,0.6061,0.5758,0.6667,0.4697,0.6061,0.239,0.062,0.293,0.092,0.11599999999999999,0.175,0.20800000000000002,0.168,0.07,0.013000000000000001,0.371,0.215,0.061,0.028999999999999998,0.002,0.001,0.059000000000000004,0.004,0.11199999999999999,0.059000000000000004,0.02,0.069,0.057
Flagler,1.44895394396392,0.648,0.9009999999999999,0.493,0.684,0.4501897163120567,0.28600000000000003,0.21100000000000002,0.2,0.247,0.111,-0.10289807011031689,0.358,0.31703970940000004,0.1515,0.2273,0.3485,0.0,0.0909,0.174,0.038,0.271,0.077,0.113,0.309,0.16399999999999998,0.154,0.042,0.023,0.267,0.092,0.11199999999999999,0.024,0.001,0.001,0.033,0.004,0.069,0.04,0.006,0.036000000000000004,0.006
Franklin,1.60490224686315,0.49,0.893,0.44299999999999995,0.611,0.3448776595744681,0.34600000000000003,0.184,0.242,0.348,0.191,0.3314871305082581,0.34600000000000003,0.2452625428,0.9091,0.3788,0.2273,0.6818,0.7879,0.335,0.08900000000000001,0.223,0.196,0.177,0.253,0.157,0.233,0.031,0.013999999999999999,0.22699999999999998,0.10800000000000001,0.055,0.004,0.001,0.0,0.045,0.015,0.022000000000000002,0.16699999999999998,0.021,0.066,0.126
Gadsden,1.36527092094838,0.591,0.89,0.441,0.693,0.4042375886524823,0.48100000000000004,0.297,0.151,0.389,0.242,0.9291655656193425,0.24600000000000002,0.193744626,0.7879,1.0,0.9545,0.7273,0.9091,0.355,0.043,0.23600000000000002,0.19699999999999998,0.142,0.192,0.221,0.19899999999999998,0.084,0.025,0.6829999999999999,0.545,0.111,0.0,0.003,0.0,0.022000000000000002,0.001,0.011000000000000001,0.27399999999999997,0.02,0.098,0.084
Gilchrist,1.98687910028116,0.373,0.675,0.39399999999999996,0.599,0.2514982269503546,0.41600000000000004,0.231,0.193,0.345,0.122,-2.3496676104789618,0.361,0.21148504270000001,0.2121,0.9091,0.0,0.8485,0.4697,0.237,0.031,0.16399999999999998,0.14,0.135,0.201,0.19899999999999998,0.20199999999999999,0.073,0.017,0.126,0.031,0.062,0.003,0.001,0.0,0.027999999999999997,0.001,0.002,0.485,0.027999999999999997,0.075,0.055
Glades,1.66816952209197,0.34600000000000003,0.46799999999999997,0.43,0.721,0.23159219858156027,0.35,0.14300000000000002,0.153,0.368,0.19899999999999998,-2.3496676104789618,0.435,0.2907407407,0.8939,0.5152,0.7576,0.5909,0.8788,0.369,0.054000000000000006,0.228,0.26899999999999996,0.209,0.268,0.145,0.192,0.042,0.057,0.43,0.152,0.222,0.005,0.035,0.0,0.009000000000000001,0.008,0.0,0.508,0.05,0.02,0.11900000000000001
Gulf,1.72700790678319,0.5329999999999999,0.836,0.402,0.5820000000000001,0.35917553191489354,0.297,0.293,0.24,0.314,0.098,0.07408330661547137,0.384,0.2598319328,0.1818,0.2121,0.2121,0.5152,0.2424,0.23399999999999999,0.043,0.23,0.14300000000000002,0.09300000000000001,0.233,0.149,0.23,0.055,0.005,0.225,0.14800000000000002,0.039,0.004,0.003,0.0,0.031,0.001,0.025,0.184,0.023,0.04,0.175
Hamilton,1.29032258064516,0.35700000000000004,0.718,0.379,0.594,0.2489060283687943,0.43700000000000006,0.268,0.20199999999999999,0.331,0.264,-2.3496676104789618,0.299,0.18739737269999998,0.9394,0.8636,0.7727,1.0,0.9545,0.37200000000000005,0.092,0.22899999999999998,0.22899999999999998,0.151,0.19,0.201,0.19399999999999998,0.079,0.016,0.45,0.313,0.107,0.005,0.006999999999999999,0.0,0.017,0.0,0.012,0.428,0.032,0.06,0.19899999999999998
Hardee,1.33779264214047,0.43700000000000006,0.7440000000000001,0.307,0.496,0.2783297872340425,0.35200000000000004,0.33899999999999997,0.207,0.42700000000000005,0.262,-0.07773485497610663,0.365,0.171635807,0.9697,0.9242,0.9091,0.9091,0.9697,0.41600000000000004,0.087,0.257,0.221,0.145,0.157,0.254,0.14300000000000002,0.07400000000000001,0.071,0.545,0.064,0.44299999999999995,0.011000000000000001,0.0,0.0,0.025,0.002,0.028999999999999998,0.242,0.078,0.049,0.077
Hendry,1.23298033282905,0.51,0.87,0.293,0.496,0.323095744680851,0.434,0.409,0.18100000000000002,0.42,0.259,-0.2740987244276154,0.297,0.1405942967,1.0,0.9394,0.9697,0.9545,0.9848,0.377,0.057999999999999996,0.305,0.305,0.217,0.134,0.254,0.122,0.098,0.136,0.711,0.10300000000000001,0.5710000000000001,0.009000000000000001,0.012,0.0,0.015,0.0,0.015,0.34,0.038,0.073,0.055999999999999994
Hernando,2.35354310565362,0.5589999999999999,0.836,0.456,0.636,0.38100709219858153,0.307,0.38,0.215,0.318,0.132,0.6406380055856755,0.376,0.275630158,0.5606,0.5606,0.3182,0.1212,0.3333,0.23,0.059000000000000004,0.249,0.106,0.126,0.268,0.184,0.19,0.048,0.013999999999999999,0.258,0.049,0.156,0.012,0.002,0.001,0.03,0.006999999999999999,0.027999999999999997,0.159,0.013999999999999999,0.051,0.011000000000000001
Highlands,2.56596214946816,0.534,0.76,0.44,0.578,0.3607960992907801,0.29100000000000004,0.282,0.165,0.34,0.159,0.5420362960714779,0.365,0.3650712927,0.697,0.8939,0.6212,0.5,0.7576,0.272,0.068,0.213,0.138,0.131,0.35700000000000004,0.168,0.203,0.046,0.036000000000000004,0.354,0.09,0.215,0.013999999999999999,0.001,0.0,0.028999999999999998,0.005,0.028999999999999998,0.231,0.027000000000000003,0.052000000000000005,0.02
Hillsborough,0.906395763383466,0.643,0.9229999999999999,0.40700000000000003,0.623,0.4198439716312056,0.302,0.223,0.16,0.27399999999999997,0.14,0.5327397357717866,0.386,0.1490046578,0.5455,0.6061,0.8939,0.5303,0.6667,0.221,0.048,0.31,0.107,0.11900000000000001,0.146,0.218,0.11800000000000001,0.07,0.065,0.537,0.155,0.299,0.042,0.001,0.001,0.033,0.006,0.177,0.065,0.03,0.059000000000000004,0.018000000000000002
Holmes,1.63826998689384,0.3,0.605,0.326,0.466,0.2070833333333333,0.436,0.524,0.24,0.4,0.188,-0.03489156282794293,0.325,0.2038111433,0.6515,0.6364,0.0303,0.5758,0.5455,0.29600000000000004,0.047,0.19699999999999998,0.17300000000000001,0.163,0.20199999999999999,0.205,0.188,0.071,0.006999999999999999,0.14800000000000002,0.065,0.032,0.006,0.006,0.002,0.034,0.001,0.006,0.365,0.027000000000000003,0.051,0.08800000000000001
Indian River,1.78026704005601,0.6859999999999999,0.95,0.483,0.639,0.4786968085106383,0.256,0.19399999999999998,0.159,0.267,0.107,0.6147967706164317,0.341,0.3458968469,0.3485,0.2424,0.3333,0.0606,0.1667,0.185,0.059000000000000004,0.249,0.086,0.111,0.33899999999999997,0.153,0.162,0.044000000000000004,0.017,0.265,0.08199999999999999,0.132,0.015,0.003,0.0,0.027999999999999997,0.006,0.142,0.071,0.012,0.043,0.01
Jackson,1.70789163722026,0.442,0.7559999999999999,0.384,0.569,0.30174290780141844,0.40299999999999997,0.366,0.26,0.35700000000000004,0.18100000000000002,0.3341366333588613,0.33899999999999997,0.2072572176,0.4091,0.8333,0.6061,0.3636,0.5,0.312,0.047,0.215,0.158,0.098,0.21100000000000002,0.187,0.201,0.085,0.012,0.348,0.256,0.052000000000000005,0.006,0.004,0.002,0.027999999999999997,0.002,0.006999999999999999,0.27899999999999997,0.012,0.052000000000000005,0.149
Jefferson,1.33107965349673,0.604,0.95,0.40700000000000003,0.49200000000000005,0.43521453900709217,0.29100000000000004,0.396,0.171,0.29600000000000004,0.171,-2.3496676104789618,0.359,0.2443642922,0.4848,0.197,0.7121,0.4848,0.4242,0.267,0.067,0.188,0.149,0.1,0.24100000000000002,0.172,0.20199999999999999,0.053,0.006,0.395,0.32,0.045,0.002,0.001,0.0,0.021,0.006,0.004,0.396,0.008,0.07,0.083
